"item","car1","car2","car3","car4","car5","car6","car7","car8","car9","car10","car11","car12","car13","car14","car15"
"09818","Toyota Highlander 2024 L / LE / XLE","Lexus RX350 2022 Base","Nissan Pathfinder 2023 S / SV","Honda Pilot 2022 EX-L / Touring","Ford Explorer 2023 Base / XLT","Chevrolet Blazer 2024 2LT / 3LT","Cadillac XT5 2023 Luxury / Premium Luxury","GMC Acadia 2023 SLE / SLT","Nissan Murano 2024 S / SV / SL","Infiniti QX60 2022 Pure / Luxe","Buick Enclave 2023 Essence","Kia Telluride 2022 LX / S / EX","Hyundai Palisade 2022 SE / SEL","Audi Q7 2021 45 TFSI","Volkswagen Atlas 2024 SE / SE w/ Technology"
"16172","Toyota Camry 2024 SE / XLE","Honda Accord 2022 EX-L","Tesla Model 3 2023 Base (RWD)","Nissan Altima 2023 SR / SL","Lexus ES350 2022 Base / Luxury","Kia K5 2023 GT-Line","Hyundai Sonata 2023 SEL Plus","Volkswagen Passat 2022 Limited Edition","Ford Fusion 2020 SE / SEL / Titanium","Chevrolet Malibu 2023 LT / 2LT","Volvo S60 2023 Core / Plus","Acura TLX 2020 Base","Mazda 6 2021 (Non-Standard Size)","Buick Regal 2020 Preferred / Essence","Subaru Legacy 2022 Limited / Sport"
"46271","Toyota Camry 2024 LE","Honda Accord 2022 LX / EX-L","Nissan Altima 2023 SV","Volkswagen Passat 2022 SE / Limited Edition","Lexus ES300h 2023 Base / Luxury","Toyota Avalon 2022 XLE","Hyundai Sonata 2023 SE / SEL","Kia K5 2022 LXS / EX","Subaru Outback 2019 2.5i / Premium","Chevrolet Malibu 2023 LS / RS / LT","Mazda 6 2021 Sport","Honda HR-V 2022 LX / EX / EX-L","Kia Niro 2023 EX / SX","Mitsubishi Outlander Sport 2022 S / ES","Fiat 500X 2022 Pop / Trekking"
"35861","Toyota Corolla 2024 LE","Honda Civic 2021 LX","Hyundai Elantra 2023 SE / SEL","Volkswagen Jetta 2023 S / Sport","Kia Forte 2024 LX / LXS","Mazda 3 2022 2.0 / 2.5 S","Subaru Impreza 2023 Base / Premium","Nissan Sentra 2023 S / SV","Chevrolet Cruze 2019 LS / LT","Audi A3 2020 Premium","BMW 320i 2018 Base","Volkswagen Golf 2021 TSI","Ford Focus 2018 S / SE","Lexus CT200h 2017 Base / F Sport","Toyota Prius 2022 L Eco / LE / XLE"
"13153","Toyota RAV4 2024 LE / XLE / XLE Premium","Honda CR-V 2023 LX","Mazda CX-5 2024 2.5 S / Select / Preferred","Nissan Rogue 2022 S / SV","Chevrolet Equinox 2024 LS / LT","Ford Escape 2023 Base / Active / ST-Line","GMC Terrain 2023 SLE","Lexus NX250 2024 Base","Subaru Forester 2023 Base","Dodge Journey 2020 SE Value / Crossroad","Jeep Cherokee 2021 Latitude / Latitude Plus","Toyota Sienna 2020 L / LE / XLE","Chrysler Voyager 2022 LX","Hyundai Tucson 2022 SE / SEL","Kia Sportage 2022 LX"
"08121","Toyota RAV4 2024 Limited / Adventure","Honda CR-V 2023 EX / EX-L","Mazda CX-5 2024 Carbon Edition / Premium","Nissan Rogue 2022 SV / SL","Chevrolet Equinox 2024 Premier","Ford Escape 2023 ST-Line Select / Platinum","GMC Terrain 2024 SLT / Denali","Lexus NX250 2024 Base","Subaru Forester 2023 Limited / Touring","Dodge Journey 2020 SE Value / Crossroad","Jeep Cherokee 2021 Limited","Toyota Sienna 2020 XLE / Limited","Chrysler Voyager 2022 LX","Hyundai Tucson 2022 Limited / N Line","Kia Sportage 2022 EX / SX"
"18126","Tesla Model 3 2023 Base (RWD) / Long Range","BMW 330i 2022 Base / xDrive","Audi A4 2023 40 TFSI / 45 TFSI","Mercedes-Benz C300 2022 Base / 4Matic","Lexus IS300 2023 Base","Alfa Romeo Giulia 2022 Sprint / Ti","Acura TLX 2020 Base / Technology Package","BMW 430i 2022 Base / xDrive","Infiniti Q50 2023 Luxe","Cadillac CT4 2022 Luxury / Premium Luxury","Kia Stinger 2023 GT-Line","Volvo S60 2022 Momentum / Inscription / R-Design","Jaguar XE 2019 S / SE / Landmark Edition","Genesis G70 2023 2.0T","Buick Regal TourX 2020 Base / Preferred / Essence"
"05213","Toyota Highlander 2023 L / LE / XLE","Honda Pilot 2022 EX-L / Special Edition / Touring","Ford Edge 2024 SE / SEL","Chevrolet Traverse 2023 LS / LT","Hyundai Palisade 2024 SE / SEL","Kia Telluride 2024 LX / S / EX","Honda Ridgeline 2023 Sport / RTL / RTL-E / Black Edition","Jeep Grand Cherokee 2021 Laredo / Limited","GMC Acadia 2023 SLE / SLT","Nissan Pathfinder 2024 S / SV","Volkswagen Atlas 2023 SE / SE with Technology","Ford Explorer 2022 Base / XLT","Mazda CX-9 2023 Sport / Touring","Subaru Ascent 2023 Base / Premium","Lincoln MKX 2018 Premiere / Select"
"91052","Toyota Highlander 2023 Limited / Platinum","Toyota Venza 2024 XLE / Limited / Nightshade","Honda Pilot 2023 Touring / Elite","Mazda CX-9 2023 Grand Touring / Signature","Ford Explorer 2022 Limited / Platinum / ST-Line","Nissan Pathfinder 2024 SL / Platinum","Hyundai Palisade 2024 Limited / Calligraphy","Kia Telluride 2024 SX / SX Prestige","Subaru Ascent 2023 Limited / Touring / Onyx Edition","Chevrolet Blazer 2023 RS / Premier","GMC Acadia 2022 AT4 / Denali","Cadillac XT5 2023 Premium Luxury / Sport","Lexus RX350 2022 F Sport / Luxury","Infiniti QX60 2023 Sensory / Autograph","Acura MDX 2022 Technology Package"
"43257","Toyota RAV4 2023 LE","Subaru Forester 2024 Base / Premium","Honda CR-V 2022 LX","Nissan Rogue 2023 S","Subaru Outback 2023 Base / Premium","Jeep Cherokee 2022 Latitude / Latitude Plus","Hyundai Tucson 2023 SE / SEL","Kia Sportage 2023 LX","Chevrolet Equinox 2023 LS / LT","GMC Terrain 2022 SLE","Mitsubishi Outlander 2022 ES","Ford Bronco Sport 2023 Base / Big Bend","Dodge Journey 2020 SE Value / Crossroad","Lexus NX300 2021 Base","Chrysler Pacifica 2023 Touring"
"96232","BMW 330i 2024 Base / xDrive","BMW 430i 2023 Base / xDrive","Tesla Model 3 2023 Base (RWD) / Long Range","Audi A4 2023 40 TFSI / 45 TFSI","Audi A5 Sportback 2022 40 TFSI / 45 TFSI","Mercedes-Benz C300 2023 Base / 4Matic","Lexus IS300 2024 Base","Acura TLX 2020 Base / Technology Package","Alfa Romeo Giulia 2023 Sprint / Ti","Infiniti Q50 2023 Luxe","Cadillac CT4 2022 Luxury / Premium Luxury","Kia Stinger 2023 GT-Line","Genesis G70 2024 2.5T","Volvo S60 2023 Core / Plus / Ultimate","BMW M235i Gran Coupe 2022 Base"
"37666","Subaru WRX 2023 Base / Premium","Audi A4 2022 40 TFSI / 45 TFSI","Audi S4 2023 Premium / Premium Plus / Prestige","BMW 330i 2018 Base / xDrive","BMW 430i 2019 Base / xDrive","Mercedes-Benz C300 2021 Base / 4Matic","Lexus GS350 2020 Base / F Sport","Lexus IS350 2022 F Sport","Cadillac CT4-V 2023 Base","Acura TLX 2020 SH-AWD / A-Spec Package","Mitsubishi Lancer Evolution 2015 GSR / Final Edition","Volvo S60 2022 Momentum / Inscription / R-Design","Volkswagen Golf R 2019 Base","Infiniti Q50 2022 Luxe / Sensory","Audi A5 2022 40 TFSI / 45 TFSI"
"04085","Ford F-150 2024 Lariat / King Ranch / Platinum","Chevrolet Silverado 1500 2023 RST / LTZ / High Country","GMC Sierra 1500 2023 SLT / AT4 / Denali","Ram 1500 2024 Laramie / Limited / Longhorn","Toyota Tundra 2023 Limited / Platinum / 1794 Edition","Toyota Sequoia 2024 Limited / Platinum / Capstone","Jeep Wagoneer 2023 Series II / Series III","Cadillac Escalade 2023 Luxury / Premium Luxury / Sport","Chevrolet Tahoe 2024 LT / RST / Premier / High Country","Chevrolet Suburban 2023 LT / Z71 / Premier","GMC Yukon 2024 SLT / AT4 / Denali","Ford Expedition 2023 Limited / King Ranch / Platinum","Infiniti QX80 2023 Luxe / Premium Select / Sensory","Nissan Armada 2024 SV / SL / Platinum","Lexus LX600 2022 Base / Premium / Luxury / F Sport"
"13647","Ford F-150 2024 Lariat / King Ranch / Platinum","Chevrolet Silverado 1500 2023 Custom / RST / LTZ / High Country","GMC Sierra 1500 2024 SLE / SLT / AT4 / Denali","Ram 1500 2023 Big Horn / Laramie / Limited","Toyota Tundra 2024 SR5 / Limited / Platinum / 1794 Edition","Nissan Titan 2023 SV / PRO-4X / Platinum Reserve","Jeep Wagoneer 2024 Base / Series II / Series III","Chevrolet Tahoe 2023 LS / LT / RST / Premier","Chevrolet Suburban 2024 LS / LT / RST / Premier","GMC Yukon 2023 SLE / SLT / AT4 / Denali","Ford Expedition 2024 XLT / Limited / King Ranch","Ram 1500 Classic 2022 Warlock","Toyota Sequoia 2023 Limited / Platinum / Capstone","Infiniti QX80 2022 Luxe / Premium Select / Sensory","Nissan Armada 2023 SV / SL / Platinum"
"01121","Toyota Tacoma 2024 SR / SR5 / TRD Sport","Toyota 4Runner 2023 SR5 / Trail Special Edition / TRD Off-Road","Ford Ranger 2023 XL / XLT / Lariat","Chevrolet Colorado 2024 WT / LT / Z71","GMC Canyon 2023 Elevation / AT4","Jeep Grand Cherokee 2022 Laredo / Limited","Lexus GX460 2023 Base / Premium / Luxury","Nissan Frontier 2024 SV / PRO-X / PRO-4X","Honda Ridgeline 2024 Sport / RTL / RTL-E","Ford F-150 2022 XL / XLT","Dodge Durango 2023 SXT / GT","Kia Telluride 2024 LX / S / EX","Hyundai Palisade 2023 SE / SEL","Mitsubishi Pajero 2021 GLX / GLS","Chevrolet Trailblazer 2022 L / LS / LT"
"55522","Jeep Grand Cherokee 2024 Limited / Overland / Summit","Dodge Durango 2023 GT / R/T / Citadel","Toyota 4Runner 2023 Limited / Nightshade","Lexus GX460 2023 Luxury","Ford Explorer 2023 Limited / ST / Platinum","Chevrolet Tahoe 2022 LS / LT / Premier","GMC Yukon 2022 SLE / SLT / Denali","Nissan Pathfinder 2024 SL / Platinum","Infiniti QX60 2023 Luxe / Sensory / Autograph","Honda Pilot 2024 Touring / Elite / Black Edition","Acura MDX 2023 Technology Package / Advance Package","Subaru Ascent 2024 Limited / Touring / Onyx Edition","Volkswagen Atlas 2023 SEL / SEL Premium R-Line","Kia Telluride 2024 SX / SX Prestige","Hyundai Palisade 2024 Limited / Calligraphy"
"38984","Ford F-150 2024 Limited / Platinum Plus","Chevrolet Silverado 1500 2023 High Country","GMC Sierra 1500 2024 Denali / Denali Ultimate","Ram 1500 2024 Limited / Limited Longhorn","Cadillac Escalade 2024 Luxury / Premium Luxury / Sport","Chevrolet Tahoe 2023 Premier / High Country","Chevrolet Suburban 2024 Premier / High Country","GMC Yukon 2023 Denali / Denali Ultimate","Ford Expedition 2024 Limited / King Ranch / Platinum","Toyota Tundra 2023 Capstone","Toyota Sequoia 2024 Capstone","Infiniti QX80 2024 Sensory","Nissan Armada 2023 Platinum","Rivian R1S 2023 Adventure / Launch Edition","Rivian R1T 2023 Adventure / Launch Edition"
"09590","Ford F-150 2024 XL / XLT / Lariat","Chevrolet Silverado 1500 2023 LT / RST / Z71","GMC Sierra 1500 2024 SLE / SLT / AT4","Ram 1500 2023 Tradesman / Big Horn / Lone Star","Toyota Tundra 2024 SR / SR5","Nissan Titan 2023 S / SV / PRO-4X","Toyota Sequoia 2023 SR5","Jeep Wagoneer 2022 Series I / Series II","Chevrolet Tahoe 2023 LS / LT / Z71","GMC Yukon 2024 SLE / SLT / AT4","Ford Expedition 2023 XL / XLT","Ram 2500 2022 Tradesman / Big Horn","Chevrolet Suburban 2022 LS / LT / Z71","Nissan Armada 2023 S / SV","Lexus LX600 2022 Base"
